time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,train/n_updates,train/entropy_loss,train/approx_kl,train/clip_fraction,train/clip_range,train/learning_rate,train/loss,train/std,train/policy_gradient_loss,train/explained_variance,train/value_loss
90112,72,100.0,-9940.85636147,11,1247,100,-1.3955246087163686,0.0029543387,0.010888671875,0.2,0.0003,139813.4375,0.9724242687225342,-0.0010852915133000352,5.960464477539063e-08,710616.812109375
98304,78,100.0,-10026.69232783,12,1246,110,-1.384998156130314,0.0037748693,0.01845703125,0.2,0.0003,139154.734375,0.9612127542495728,-0.0014313338637293783,1.2516975402832031e-06,722071.937890625
106496,85,100.0,-9963.27494738,13,1245,120,-1.3734890725463629,0.0009791753,0.00111083984375,0.2,0.0003,144204.296875,0.951200544834137,-0.0005920460371271474,8.344650268554688e-07,739707.056640625
114688,92,100.0,-10058.79317003,14,1244,130,-1.3595594804733993,0.0025407772,0.00850830078125,0.2,0.0003,142810.96875,0.9363909363746643,-0.0010078233211970656,6.556510925292969e-07,719891.9791015625
122880,98,100.0,-10177.87205505,15,1244,140,-1.3571546148508786,0.0022553692,0.0095703125,0.2,0.0003,141599.03125,0.9403390288352966,-0.0010389660521468614,5.364418029785156e-07,739339.6990234375
131072,105,100.0,-10327.76355076,16,1243,150,-1.3521422240883112,0.0015222376,0.00511474609375,0.2,0.0003,150026.28125,0.9310840368270874,-0.0007000982743193163,2.980232238769531e-07,759238.26015625
139264,112,100.0,-10202.5651391,17,1243,160,-1.3492085535079241,0.002537483,0.01373291015625,0.2,0.0003,150352.828125,0.9343031644821167,-0.0017364952942443778,7.748603820800781e-07,782059.1376953125
147456,118,100.0,-10283.075836380001,18,1242,170,-1.3502043772488832,0.0019745596,0.01064453125,0.2,0.0003,145951.8125,0.9329405426979065,-0.000984701744891936,1.7881393432617188e-07,749014.0375
155648,125,100.0,-10196.83585786,19,1242,180,-1.3491951510310174,0.0028790063,0.00667724609375,0.2,0.0003,155620.3125,0.9314539432525635,-0.0005534964231628692,4.76837158203125e-07,771559.10390625
163840,131,100.0,-10041.74577519,20,1242,190,-1.3474975671619176,0.0022804663,0.00498046875,0.2,0.0003,147804.734375,0.9300776720046997,-0.0006071133149816888,2.384185791015625e-07,749398.1900390625
172032,138,100.0,-10021.885108060002,21,1241,200,-1.349761523678899,0.0007130649,0.0003662109375,0.2,0.0003,141158.421875,0.9346901178359985,-0.00020681530095316701,1.1920928955078125e-07,721121.815234375
180224,145,100.0,-10032.48758877,22,1241,210,-1.3578114315867424,0.0011238089,0.00439453125,0.2,0.0003,143560.046875,0.9442352056503296,-0.0005695298625141732,5.960464477539063e-08,722437.1533203125
188416,151,100.0,-10123.01336233,23,1241,220,-1.3556524023413659,0.005666004,0.0411376953125,0.2,0.0003,138854.359375,0.9337067604064941,-0.0031071785815584008,0.0,721059.8060546875
196608,158,100.0,-10115.860018489999,24,1241,230,-1.3487997148185968,0.0014576612,0.003857421875,0.2,0.0003,148067.765625,0.9311238527297974,-0.00037700185384892393,1.7881393432617188e-07,741471.2576171875
204800,165,100.0,-10234.665542809998,25,1240,240,-1.3448124323040247,0.003682177,0.02032470703125,0.2,0.0003,148090.4375,0.9255841970443726,-0.0017021048945025541,0.0,733437.5376953125
212992,171,100.0,-10117.771323320001,26,1240,250,-1.3372544299811124,0.004619495,0.02530517578125,0.2,0.0003,149047.59375,0.9183331727981567,-0.00206000500038499,1.1920928955078125e-07,760784.5783203125
221184,178,100.0,-10033.65022016,27,1240,260,-1.336003091186285,0.0013389633,0.002880859375,0.2,0.0003,142236.796875,0.9215201735496521,-0.00046709918860869947,1.1920928955078125e-07,730082.6119140625
229376,184,100.0,-10129.8744412,28,1240,270,-1.3376212786883115,0.00312266,0.00928955078125,0.2,0.0003,145833.203125,0.9198262095451355,-0.000869598203280475,5.960464477539063e-08,719560.64921875
237568,191,100.0,-10110.110181,29,1240,280,-1.3403987385332585,0.0018188918,0.01109619140625,0.2,0.0003,141130.765625,0.9258713126182556,-0.0015512500765908043,5.960464477539063e-08,736364.267578125
245760,198,100.0,-10234.06488515,30,1240,290,-1.3427622780203818,0.0034225043,0.0101806640625,0.2,0.0003,144131.515625,0.9256288409233093,-0.0009122803516220301,-1.1920928955078125e-07,728345.08828125
253952,204,100.0,-10245.59930767,31,1240,300,-1.3446279358118773,0.0014248816,0.00384521484375,0.2,0.0003,154445.859375,0.9294462203979492,-0.0005143320426213904,0.0,754458.6814453125
262144,211,100.0,-10144.399585190002,32,1239,310,-1.3464063342660666,0.002040903,0.00750732421875,0.2,0.0003,147962.71875,0.9300795197486877,-0.0007362997792370151,0.0,748192.5150390625
270336,218,100.0,-10167.06773085,33,1239,320,-1.3444228839129209,0.0017249159,0.00079345703125,0.2,0.0003,143940.28125,0.9260145425796509,-0.0002493858428351814,-1.1920928955078125e-07,726553.1841796875
278528,224,100.0,-10079.272328230001,34,1239,330,-1.3363489553332328,0.003495275,0.0267578125,0.2,0.0003,145641.78125,0.9163907766342163,-0.0021874266436498146,0.0,737709.509375
286720,231,100.0,-10121.096691749999,35,1239,340,-1.3302764538675547,0.004212913,0.01737060546875,0.2,0.0003,137850.640625,0.9133599996566772,-0.0014405309193534777,-1.1920928955078125e-07,715284.3861328125
294912,237,100.0,-10101.91239822,36,1239,350,-1.3268126547336578,0.0027973994,0.0105224609375,0.2,0.0003,143484.734375,0.9100888967514038,-0.0009408294237800874,0.0,728452.6025390625
303104,244,100.0,-10025.658842600002,37,1239,360,-1.3195959638804198,0.0028093706,0.01468505859375,0.2,0.0003,147194.1875,0.9030222296714783,-0.0013956196704384637,0.0,720450.897265625
311296,251,100.0,-9967.754884029999,38,1239,370,-1.3097865387797356,0.0010245004,0.00118408203125,0.2,0.0003,139449.046875,0.8908841609954834,-0.0003395547355466988,0.0,706958.5767578125
319488,257,100.0,-10007.86912922,39,1239,380,-1.305104823037982,0.0020264816,0.00460205078125,0.2,0.0003,137629.28125,0.8933355212211609,-0.0004184669316600775,0.0,698602.8556640625
327680,264,100.0,-9955.98001407,40,1239,390,-1.3055561080574989,0.0031469644,0.0087158203125,0.2,0.0003,139295.015625,0.8922533392906189,-0.000674744944262784,5.960464477539063e-08,706616.158984375
335872,271,100.0,-9978.803855260001,41,1239,400,-1.3041824836283922,0.0035310504,0.01300048828125,0.2,0.0003,135279.0,0.8890918493270874,-0.0008940613692175247,0.0,691825.045703125
344064,277,100.0,-10047.133424940002,42,1239,410,-1.2990859195590019,0.0024803157,0.0102294921875,0.2,0.0003,134264.390625,0.884402871131897,-0.0008761699740716722,0.0,700453.9845703125
352256,284,100.0,-10112.1097707,43,1239,420,-1.2959707163274288,0.0015541508,0.0061279296875,0.2,0.0003,139943.453125,0.8833014965057373,-0.0005383878404245479,1.1920928955078125e-07,707924.6857421875
360448,290,100.0,-10118.2808084,44,1239,430,-1.2984594643115996,0.0010257646,0.00157470703125,0.2,0.0003,145206.609375,0.8874462246894836,-0.00014140081366349478,0.0,719141.31875
368640,297,100.0,-10072.398537730001,45,1238,440,-1.31056237667799,0.00058717816,0.0010498046875,0.2,0.0003,141111.5,0.9065091609954834,-0.00037469728740688877,0.0,718438.69296875
376832,304,100.0,-10011.304350860002,46,1238,450,-1.3174473278224468,0.0031335698,0.01351318359375,0.2,0.0003,136097.09375,0.900378942489624,-0.001131519061163999,5.960464477539063e-08,710018.0408203125
385024,310,100.0,-10035.62072229,47,1238,460,-1.3109027408063412,0.0020502661,0.0060791015625,0.2,0.0003,133099.1875,0.8942708969116211,-0.000801986493570439,0.0,694803.119921875
393216,317,100.0,-10040.38783492,48,1238,470,-1.3000347804278136,0.00072387955,0.0003173828125,0.2,0.0003,142120.828125,0.8815815448760986,-0.00013747114753641653,0.0,703350.9287109375
401408,324,100.0,-9989.68451046,49,1238,480,-1.2871265422552824,0.0022252465,0.0099609375,0.2,0.0003,135133.15625,0.8720343112945557,-0.0008450992238067557,5.960464477539063e-08,699978.0658203125
409600,330,100.0,-9981.23045017,50,1238,490,-1.282973724976182,0.0012642641,0.001416015625,0.2,0.0003,133716.203125,0.8735299110412598,-0.00030519000411004525,5.960464477539063e-08,691623.445703125
417792,337,100.0,-9919.68827107,51,1238,500,-1.2819492809474469,0.0028153153,0.0106201171875,0.2,0.0003,135795.90625,0.8704137802124023,-0.0008245805358455982,5.960464477539063e-08,690379.278515625
425984,343,100.0,-9891.092031220001,52,1238,510,-1.2760082058608533,0.0018125155,0.00294189453125,0.2,0.0003,133951.46875,0.8633105754852295,-0.0004411707988765556,0.0,679680.616015625
434176,350,100.0,-9928.950801489998,53,1238,520,-1.273156736418605,0.0013817556,0.00469970703125,0.2,0.0003,130331.9296875,0.8642423748970032,-0.0002703854122955818,0.0,673486.188671875
442368,357,100.0,-9985.8559855,54,1238,530,-1.2701908502727748,0.0020466042,0.00506591796875,0.2,0.0003,135392.84375,0.8585526943206787,-0.0005211498973949347,5.960464477539063e-08,680535.4740234375
450560,363,100.0,-10044.07705112,55,1238,540,-1.2679768305271863,0.0017538012,0.006396484375,0.2,0.0003,134878.09375,0.8605784773826599,-0.0006218675796844763,-1.1920928955078125e-07,688722.45234375
458752,370,100.0,-9967.649178439999,56,1238,550,-1.267317221686244,0.0036921105,0.0193115234375,0.2,0.0003,139022.46875,0.857978343963623,-0.0014245343263610266,0.0,697585.00390625
466944,377,100.0,-10028.848109259998,57,1238,560,-1.2624670129269362,0.0036080198,0.0099853515625,0.2,0.0003,133776.875,0.8520528674125671,-0.0007468346309906337,0.0,680497.1279296875
475136,383,100.0,-10043.80197663,58,1238,570,-1.2524663161486387,0.0018550365,0.0032470703125,0.2,0.0003,136338.984375,0.8413060903549194,-0.00037581364886136727,0.0,692164.0134765625
483328,390,100.0,-10140.787495569999,59,1238,580,-1.2402277283370495,0.0034299125,0.01630859375,0.2,0.0003,136494.90625,0.8314316868782043,-0.0014859098620945588,-1.1920928955078125e-07,692403.1763671875
491520,396,100.0,-10076.318138480001,60,1238,590,-1.2352174997329712,0.001592296,0.01080322265625,0.2,0.0003,135048.984375,0.8318488001823425,-0.0012363869231194259,-1.1920928955078125e-07,709546.6314453125
499712,403,100.0,-10100.55577262,61,1238,600,-1.2269029971212149,0.000659079,0.000390625,0.2,0.0003,132969.25,0.8191440105438232,-0.00013561822051997297,0.0,691881.6931640625
507904,410,100.0,-10038.6930233,62,1238,610,-1.218919550254941,0.0023837087,0.0130859375,0.2,0.0003,138844.4375,0.8184854984283447,-0.0011077862418460427,0.0,699856.7912109375
516096,416,100.0,-9969.28100939,63,1238,620,-1.2117199040949345,0.0016902208,0.007421875,0.2,0.0003,134150.921875,0.8076456785202026,-0.000691724492207868,-1.1920928955078125e-07,686123.014453125
524288,423,100.0,-10044.39677741,64,1238,630,-1.2058499880135058,0.002339473,0.0105712890625,0.2,0.0003,130306.9453125,0.8075810670852661,-0.0009196890281600645,0.0,675373.3287109375
532480,430,100.0,-9972.91157646,65,1238,640,-1.2025009986013173,0.0035657207,0.0163818359375,0.2,0.0003,135090.21875,0.8040090203285217,-0.0012979612845811061,0.0,689586.6412109375
540672,436,100.0,-10010.233880630001,66,1238,650,-1.200602075457573,0.002906119,0.0041259765625,0.2,0.0003,133458.296875,0.8029166460037231,-0.0002035539106145734,-1.1920928955078125e-07,672351.8677734375
548864,443,100.0,-9985.46846261,67,1237,660,-1.1998634666204453,0.0020161276,0.00740966796875,0.2,0.0003,134042.84375,0.8029711246490479,-0.0005972578997898381,-1.1920928955078125e-07,681611.4818359375
557056,450,100.0,-10015.934570020001,68,1236,670,-1.1990418158471585,0.001644064,0.00555419921875,0.2,0.0003,133769.796875,0.8012783527374268,-0.00039822880135034213,0.0,673654.709765625
565248,457,100.0,-9982.963476460001,69,1235,680,-1.1927154708653689,0.0038450984,0.0218994140625,0.2,0.0003,132355.671875,0.7942414283752441,-0.0018898685593740083,5.960464477539063e-08,680346.8517578125
573440,464,100.0,-9946.01855909,70,1234,690,-1.1892696231603623,0.0017941364,0.00699462890625,0.2,0.0003,134402.71875,0.7936347723007202,-0.0010333692167478147,5.960464477539063e-08,670693.742578125
581632,471,100.0,-9926.57365454,71,1233,700,-1.1836126629263162,0.002253782,0.0098876953125,0.2,0.0003,131539.25,0.7863668203353882,-0.0008445702307653847,0.0,667352.137890625
589824,478,100.0,-9965.766659339999,72,1232,710,-1.177611543238163,0.003064301,0.016259765625,0.2,0.0003,130110.5234375,0.7836787104606628,-0.0011510396303492597,0.0,661759.1009765625
598016,485,100.0,-9918.49076557,73,1232,720,-1.1724013548344374,0.0016843337,0.0057373046875,0.2,0.0003,129641.640625,0.7791117429733276,-0.0005468819850648288,5.960464477539063e-08,668621.4009765625
606208,492,100.0,-9957.27786189,74,1231,730,-1.1662282772362231,0.0019654369,0.01370849609375,0.2,0.0003,127525.3203125,0.7744172215461731,-0.00142572923869011,0.0,659342.35546875
614400,499,100.0,-9921.43337628,75,1230,740,-1.1634599715471268,0.0028753276,0.01129150390625,0.2,0.0003,130211.671875,0.7738747596740723,-0.0007754705526167527,-1.1920928955078125e-07,667315.5642578125
622592,506,100.0,-9973.933456920002,76,1229,750,-1.1593949515372515,0.0042293593,0.02177734375,0.2,0.0003,130407.9609375,0.7693276405334473,-0.0012973018227057764,-1.1920928955078125e-07,657365.5611328125
630784,513,100.0,-10011.727993969998,77,1228,760,-1.1602209623903037,0.0015258647,0.00169677734375,0.2,0.0003,130452.9921875,0.7735346555709839,-5.5343339045066384e-05,1.7881393432617188e-07,669443.522265625
638976,520,100.0,-10075.03773021,78,1228,770,-1.15486699976027,0.0037776674,0.02012939453125,0.2,0.0003,134436.03125,0.764279842376709,-0.001191870572802145,5.960464477539063e-08,671176.1873046875
647168,527,100.0,-10131.21018386,79,1227,780,-1.1473223399370909,0.0012010653,0.0006591796875,0.2,0.0003,135251.296875,0.7598994374275208,1.2243815217516384e-05,-1.1920928955078125e-07,683332.96015625
655360,534,100.0,-10088.31611556,80,1226,790,-1.1421648874878882,0.0015341272,0.004443359375,0.2,0.0003,138015.703125,0.7563396096229553,-0.0002267476222186815,-1.1920928955078125e-07,688287.2681640625
663552,541,100.0,-10058.108541829999,81,1226,800,-1.1396597515791655,0.0013051631,0.0044677734375,0.2,0.0003,132250.578125,0.7558891773223877,-0.000431304749508854,0.0,678383.13359375
671744,548,100.0,-10135.41718626,82,1225,810,-1.1360802710056306,0.0040576346,0.022509765625,0.2,0.0003,133534.15625,0.7525007128715515,-0.0015125362784601747,0.0,673361.432421875
679936,555,100.0,-10221.630130559999,83,1224,820,-1.1303905200213193,0.0021029932,0.01221923828125,0.2,0.0003,135199.421875,0.7458434104919434,-0.0007319870379433269,0.0,687993.8115234375
688128,562,100.0,-10223.082084700001,84,1224,830,-1.1275144554674625,0.0019869513,0.00628662109375,0.2,0.0003,139066.09375,0.747286319732666,-0.0001983326717891032,0.0,701475.3201171875
696320,569,100.0,-10244.992707110001,85,1223,840,-1.1300624102354049,0.0008945872,0.001611328125,0.2,0.0003,141159.921875,0.7503784894943237,-0.0001797529428586131,0.0,695245.7998046875
704512,575,100.0,-10221.106191359999,86,1223,850,-1.123953064158559,0.0016930449,0.0024658203125,0.2,0.0003,134127.59375,0.7392817735671997,-0.0002901173727877904,0.0,701047.8587890625
712704,582,100.0,-10237.097846519999,87,1222,860,-1.1251710530370473,0.0009867899,0.0035400390625,0.2,0.0003,136079.0625,0.7497003078460693,-0.0005844983970746398,0.0,695164.5546875
720896,589,100.0,-10145.42898274,88,1221,870,-1.1246007043868302,0.003734266,0.01082763671875,0.2,0.0003,136909.828125,0.7411555647850037,-0.0007607631778228097,0.0,698559.7892578125
729088,596,100.0,-10141.746619540001,89,1221,880,-1.1143006667494775,0.0014042063,0.00142822265625,0.2,0.0003,134773.359375,0.733684778213501,-0.000168900246717385,0.0,679514.3103515625
737280,603,100.0,-10231.20685734,90,1220,890,-1.109961374476552,0.0033090957,0.01474609375,0.2,0.0003,133893.71875,0.7333285212516785,-0.00150532588668284,0.0,682667.746875
745472,610,100.0,-10178.364543770002,91,1220,900,-1.1057558499276638,0.0027209637,0.01278076171875,0.2,0.0003,139412.40625,0.7300775051116943,-0.0007644452864042251,0.0,697003.5390625
753664,617,100.0,-10105.729052110002,92,1219,910,-1.1051559738814831,0.0024234157,0.00572509765625,0.2,0.0003,133671.328125,0.7304335832595825,-0.00027916640901821667,0.0,680663.679296875
761856,624,100.0,-10114.36688791,93,1219,920,-1.0892384331673384,0.0010258597,0.00157470703125,0.2,0.0003,132746.453125,0.7085967659950256,-0.0005932865860813763,0.0,668956.6478515625
770048,631,100.0,-10101.62116674,94,1218,930,-1.0751170348376036,0.0012438402,0.003759765625,0.2,0.0003,132074.109375,0.7093241214752197,-0.0003041651165403891,-1.1920928955078125e-07,672947.9953125
778240,638,100.0,-10115.501349330001,95,1218,940,-1.0732734177261591,0.0022726434,0.006591796875,0.2,0.0003,133545.65625,0.7065721750259399,-0.00040122752707247853,0.0,669437.96875
786432,645,100.0,-10090.05691674,96,1218,950,-1.0757954016327858,0.0018933984,0.0076904296875,0.2,0.0003,129776.5859375,0.7117428183555603,-0.0006486561826022808,0.0,672917.1986328125
794624,652,100.0,-10092.488316950003,97,1217,960,-1.0824337791651488,0.001746745,0.0107421875,0.2,0.0003,131896.015625,0.7163829207420349,-0.000735733778856229,0.0,665346.27421875
802816,659,100.0,-10058.058121,98,1217,970,-1.0775175865739584,0.0025385998,0.0056884765625,0.2,0.0003,129004.5625,0.7061976194381714,-0.0005770307834609412,0.0,667193.0970703125
811008,666,100.0,-10029.868083100002,99,1216,980,-1.0664894416928292,0.0019521755,0.01761474609375,0.2,0.0003,126892.765625,0.6999215483665466,-0.001535706897993805,5.960464477539063e-08,657832.4830078125
819200,673,100.0,-9964.13981604,100,1216,990,-1.0573968678712844,0.002993456,0.01129150390625,0.2,0.0003,128347.0234375,0.6943198442459106,-0.0008057442701101536,5.960464477539063e-08,655554.4669921875
827392,680,100.0,-9982.247643079998,101,1215,1000,-1.0427162002772092,0.0022391793,0.01435546875,0.2,0.0003,127243.4375,0.679707944393158,-0.0009538367918139557,-1.1920928955078125e-07,644447.236328125
835584,687,100.0,-10005.974072330002,102,1215,1010,-1.029341757670045,0.0013329814,0.00594482421875,0.2,0.0003,128653.421875,0.6755736470222473,-0.0004749819425342139,0.0,648120.2884765625
843776,694,100.0,-9968.808709539999,103,1214,1020,-1.0226879395544528,0.004003331,0.01978759765625,0.2,0.0003,125688.90625,0.670559287071228,-0.00117406384088099,-1.1920928955078125e-07,649574.690234375
851968,701,100.0,-9942.669015840002,104,1214,1030,-1.0165973655879497,0.0009337072,0.0013427734375,0.2,0.0003,128090.046875,0.6680260896682739,-5.896067559660878e-05,0.0,639742.1552734375
860160,708,100.0,-9963.2571723,105,1214,1040,-1.0170343440026044,0.0010278048,0.00079345703125,0.2,0.0003,125117.96875,0.6703783273696899,5.9238468020339495e-05,5.960464477539063e-08,636877.51328125
868352,715,100.0,-9995.819708750001,106,1213,1050,-1.013245751336217,0.0021531018,0.00921630859375,0.2,0.0003,125804.4375,0.6641034483909607,-0.000549933369984501,0.0,639739.734765625
