step,policy_gradient_loss,value_loss,entropy_loss,total_loss,episodic_reward
2000,,,,,
4000,-8.205289098670577e-05,15224142.275,-1.4186214089393616,3038743.25,
6000,-2.4879188012638664e-05,19333957.575,-1.4182105720043183,4917561.0,
8000,-0.00020884817300288462,9100375.1625,-1.4177611708641051,2361696.0,
10000,-0.0003610926264394243,13688156.925,-1.4189100056886672,2276563.75,
12000,-0.00021722660292260442,22611943.0,-1.4194024473428726,4252745.0,
14000,-3.3087611695625796e-05,7095055.6,-1.4194566637277604,1420595.375,
16000,-0.00016154587076311344,8265023.75,-1.4189732253551484,1564493.125,
18000,-9.727543929036742e-05,6150291.4375,-1.4187634259462356,1298193.75,
20000,-0.00033739415439129063,3150192.0375,-1.419304323196411,596439.0,
22000,-0.0005795962003396938,5843308.15625,-1.420098876953125,1162276.875,
24000,-0.0016206499568133914,4581096.4625,-1.4210262328386307,739041.9375,
26000,-0.0010729661299890836,4148459.91875,-1.4211472779512406,946462.4375,
28000,-0.000414945187908522,3440648.2625,-1.4202266305685043,762324.0,
30000,-0.000876426160179733,1507564.68125,-1.419268047809601,283568.875,
32000,-0.0006025146021194416,1385955.265625,-1.4199771881103516,299978.1875,
34000,-0.00044895733392209537,1504038.61875,-1.4191837579011917,291620.40625,
36000,-0.0005874479015503198,2407599.19375,-1.4171652764081955,489809.75,
38000,-0.0007608570780629264,1090691.15625,-1.4175759345293044,213120.296875,
40000,-0.0011392877618419562,1561692.175,-1.4179659962654114,330215.8125,
42000,-0.0024071536716096633,1417985.709375,-1.4180278390645982,278058.40625,
44000,-0.000563122340615152,1139571.13125,-1.4185770928859711,219883.78125,
46000,-0.0012256786829412114,1250865.23125,-1.4189337253570558,271073.71875,
48000,-0.0004097873367676641,986887.6,-1.418653240799904,192832.71875,
50000,-0.0007939880284137501,1198837.8375,-1.4174094259738923,214464.25,
52000,-0.0004432318514286493,978280.9453125,-1.4148777425289154,188648.25,
54000,-0.00035044267614523503,941365.615625,-1.4118309676647187,182987.265625,
56000,-0.00012166948518697041,906981.8234375,-1.409160962700844,177541.890625,
58000,-0.0005005009764378343,978282.8,-1.4091290831565857,191945.5625,
60000,-0.0004786945454348768,872729.325,-1.4093994230031968,175998.59375,
62000,-0.00026542215837075387,923960.253125,-1.40849826335907,181474.828125,
64000,-0.000544528988194326,920063.45,-1.4087343722581864,174666.671875,
66000,-7.96789471454673e-05,907778.3125,-1.4081847280263902,181466.828125,
68000,-6.896575716277553e-05,931809.915625,-1.4077128171920776,187515.390625,
70000,-0.00033181695437001224,949918.7140625,-1.4057110518217086,185535.8125,
72000,-0.00022166787673238986,950839.6921875,-1.4047802835702896,192666.84375,
74000,-0.0005319904649137231,951817.565625,-1.4055194914340974,187182.875,
76000,-0.0004544166788218007,879973.31875,-1.4072477489709854,173689.046875,
78000,-0.00030420072046268844,915709.5421875,-1.4089066445827485,182021.453125,
80000,-0.0008113272017897799,928238.4640625,-1.4110025882720947,186116.75,
82000,-0.00044643476045465037,901743.8296875,-1.4115001201629638,182854.96875,
84000,-0.0004747267389831222,936851.546875,-1.410755929350853,188097.59375,
86000,-0.0003935413259581466,983683.1109375,-1.408260914683342,183423.265625,
88000,-0.00036923100552037623,982508.728125,-1.4064850151538848,195352.640625,
90000,-0.0016043022110110883,989084.8890625,-1.406835713982582,195703.21875,
92000,-0.000531636699946958,986735.8078125,-1.4072708755731582,203036.828125,
94000,-0.0018293713563920732,956439.2203125,-1.4051801681518554,185087.96875,
96000,-0.0007631085690928075,885092.0578125,-1.402287420630455,172886.3125,
98000,-0.00014234609453396275,861678.20625,-1.4007086396217345,173665.359375,
100000,-0.0004312027056450063,849556.028125,-1.3995112895965576,173059.28125,
102000,-0.00023396600856955273,863794.5390625,-1.3984989315271377,171115.765625,
104000,-0.0008511041954047726,870745.1,-1.3969353884458542,174194.34375,
106000,-0.0006116815802172049,844592.2015625,-1.3966018617153169,170794.734375,
108000,-0.00015914176913298662,880375.640625,-1.3966905802488327,175698.921875,
110000,-0.00023529679357598977,871085.15,-1.39721921980381,168071.0625,
112000,-0.00039196369537322087,900611.584375,-1.3976000815629959,181078.765625,
114000,-0.00018738465454006814,917870.6375,-1.3959222793579102,182087.390625,
116000,-9.812773501494122e-06,895985.196875,-1.3947469532489776,180453.6875,
118000,-0.00018967864012928715,906969.340625,-1.3932133555412292,180825.59375,
120000,-0.0001298677619544719,885286.8859375,-1.3916861414909363,178718.78125,
122000,-0.00023129285563765477,898469.340625,-1.3907097280025482,175191.03125,
124000,-0.00010413962636910413,922602.525,-1.389137688279152,187390.25,
126000,-0.0005914361222080444,898975.4609375,-1.38799045085907,175063.234375,
128000,-8.367394874042589e-05,894510.975,-1.386531326174736,175213.359375,
130000,-0.0008286789162497143,947860.428125,-1.3852303177118301,186754.609375,
132000,-0.0005932801556603806,899720.6765625,-1.3860776871442795,175376.828125,
134000,-0.00021607992498609007,884366.1203125,-1.387438926100731,172707.703125,
136000,-0.00016922527526901375,876493.14375,-1.3898288667201997,171761.09375,
138000,-0.00022472748893525018,895915.4484375,-1.3918559014797212,177262.578125,
140000,-0.0002449323648585633,918641.6125,-1.3923789739608765,179936.859375,
142000,3.6148859276607936e-05,883893.715625,-1.3927331805229186,179090.359375,
144000,-0.00027125702824442043,869071.3796875,-1.3930055290460586,175199.234375,
146000,-0.0010194146745753584,897267.778125,-1.393420249223709,178597.796875,
148000,1.5128117296470122e-05,865028.6640625,-1.3929576963186263,173379.40625,
150000,-0.0017690363979031786,840611.8625,-1.3927164375782013,164333.84375,
152000,-0.00023756618133923267,878875.9796875,-1.3939175128936767,171225.015625,
154000,-0.00026759881896190054,886139.2703125,-1.3950857251882554,176079.703125,
156000,-9.258933723526042e-05,920974.2265625,-1.3957154959440232,175873.625,
158000,-0.00010500178458094922,921634.0515625,-1.3952832788228988,182458.90625,
160000,-0.0001752012257043134,895584.928125,-1.3948046267032623,179573.84375,
162000,-0.00010938635110742112,888681.2109375,-1.3954771220684052,177907.8125,
164000,-0.00029157145907614533,892182.0859375,-1.3937968194484711,168475.6875,
166000,-4.6359569532228305e-05,894991.5671875,-1.3925026386976243,175289.34375,
168000,-0.00019964225937001422,860281.1390625,-1.3919917851686479,167621.5625,
170000,-0.00032595936298776,901012.3359375,-1.3899539053440093,176959.625,
172000,-0.00039905933494424064,876191.9140625,-1.3884105771780013,177552.375,
174000,-0.00013639902926145808,864633.4640625,-1.3884893029928207,166378.546875,
176000,-0.001196818333612626,854422.7078125,-1.3892631471157073,170221.46875,
178000,-0.00013190376014193816,870084.0265625,-1.3909472912549972,168582.03125,
180000,-0.00019212778936221752,905617.5140625,-1.3916282534599305,178320.484375,
182000,-0.000796818555771317,908860.35,-1.3916955471038819,188750.4375,
184000,-2.0334930126608697e-05,860461.69375,-1.3911353170871734,166551.921875,
186000,-0.0004789480949881408,859759.628125,-1.3895901083946227,165675.46875,
188000,-0.00043309441898227164,870918.815625,-1.3853467851877213,172599.03125,
190000,-0.00035833753825329493,896460.81875,-1.3823365151882172,180727.78125,
192000,-0.000239231300328413,902961.803125,-1.3818061262369157,186321.28125,
194000,-0.0010804612237803823,890061.196875,-1.3814471870660783,185243.03125,
196000,-0.0001627700726769987,853704.3984375,-1.3824774116277694,171010.25,
198000,-0.00018857083392340713,853468.0796875,-1.3839331597089768,168716.34375,
200000,-0.0003619775852556018,846450.5140625,-1.3844301521778106,172592.265625,
202000,-0.0008411150718011129,845404.6484375,-1.3850484549999238,167572.6875,
204000,-5.7287166712782775e-05,825137.3609375,-1.3830837726593017,166081.140625,
206000,-0.0004119197141786657,819584.284375,-1.382159209251404,164538.328125,
208000,-1.5726169080565455e-05,829538.803125,-1.382036429643631,163139.484375,
210000,-3.840791626172901e-05,830397.3390625,-1.3828365474939346,163487.875,
212000,-7.744663910287386e-05,832995.1328125,-1.3829745948314667,160429.953125,
214000,-4.88701820945181e-05,844377.45,-1.3827881395816803,169358.96875,
216000,-0.0004418667416184796,840171.078125,-1.3833504974842072,169727.703125,
218000,-0.0005040780563149383,831503.3265625,-1.3836901605129241,164666.984375,
220000,-0.0004804660918519943,829061.084375,-1.3826236873865128,158432.203125,
222000,-0.00012118869070114613,816663.2671875,-1.3831095814704895,164588.5,
224000,-0.0005247481479869976,814970.340625,-1.3839848309755325,165202.4375,
226000,-8.185161206419878e-05,819773.10625,-1.3850678235292435,162787.359375,
228000,-0.001249580131795458,822222.746875,-1.3853380233049393,161682.21875,
230000,-0.0006432052114107023,826118.2765625,-1.386874920129776,161189.109375,
232000,-0.00011040238322366225,836549.5296875,-1.388748124241829,166657.171875,
234000,-0.0004124348832736047,838721.1875,-1.3893736809492112,160999.28125,
236000,-0.0007140365287721551,835797.2875,-1.3902978420257568,162232.625,
238000,-0.00034688905929023404,849263.9859375,-1.3905365198850632,165993.1875,
240000,-0.0003478756448629383,860526.8375,-1.3910665571689607,172042.15625,
242000,-8.02287724546602e-05,871805.521875,-1.3907857894897462,168609.265625,
244000,-0.00010584851653980821,873016.2,-1.390570268034935,174238.390625,
246000,-4.7055452963462585e-05,879682.0421875,-1.389447170495987,176403.234375,
248000,-0.000236216119669308,882762.996875,-1.3897131830453873,173030.859375,
250000,-0.0001340711063557265,874558.8328125,-1.3907511979341507,172813.15625,
252000,-0.0011337419402789096,874448.9828125,-1.3930684804916382,179760.3125,
254000,-3.270522079574789e-05,914990.9984375,-1.3952383786439895,182793.765625,
256000,-0.00014266858864289133,867423.14375,-1.3946174561977387,174065.765625,
258000,-0.00010388957128952825,889944.378125,-1.394145593047142,173186.75,
260000,-0.0009917765080540875,856708.1375,-1.3940996497869491,170056.8125,
262000,-0.00022341870317106328,860111.5015625,-1.3940751433372498,168510.015625,
264000,-0.0002084403381856781,856958.4796875,-1.393726646900177,168500.390625,
266000,-2.1514761190388754e-05,849626.03125,-1.3940997302532196,167515.015625,
268000,-0.00019962931037387222,835672.075,-1.393081361055374,164510.265625,
270000,-0.00044644996056817374,871059.8,-1.392413404583931,171578.84375,
272000,-5.605096267515819e-05,839754.00625,-1.391758632659912,164812.453125,
274000,-0.0002805005782455794,846527.2890625,-1.3907272607088088,168858.203125,
276000,-0.00030321494223510824,854242.7078125,-1.3885729014873505,166201.265625,
278000,-7.861257321266635e-05,862730.140625,-1.3870654284954071,174231.859375,
280000,-7.210352503230765e-05,849106.746875,-1.386232817173004,163972.34375,
282000,-7.179799656427121e-05,847423.6859375,-1.3848899334669114,169361.796875,
284000,-0.0001951744961662172,842568.778125,-1.383269700407982,166749.625,
286000,-0.0005521599220383894,862470.85,-1.3818870276212691,175925.46875,
288000,-4.1204448843146224e-05,844363.3734375,-1.3816587209701539,167727.40625,
290000,-0.00010562747763032121,842878.4515625,-1.3816137611865997,164310.609375,
292000,-0.00012625389184810486,844373.890625,-1.382292002439499,166752.1875,
294000,-7.283681796685926e-05,843038.165625,-1.3828545749187469,169222.484375,
296000,-0.0002724702204243812,841890.6109375,-1.3827198296785355,168666.015625,
298000,-3.303402770997721e-05,844575.9921875,-1.382226213812828,167962.125,
300000,-0.0008020689251054591,859141.053125,-1.3826396316289902,172251.734375,
302000,-0.00013707821029456112,841167.3546875,-1.3820398956537248,165580.828125,
304000,-0.00017962087729834765,846914.765625,-1.382649102807045,165372.703125,
306000,-0.0005268979659696527,863472.9390625,-1.3837531447410583,174871.875,
308000,-0.00030360872028154515,877822.38125,-1.384547957777977,179628.203125,
310000,-0.00016300897404022407,880980.8296875,-1.3846698433160782,181665.703125,
312000,-0.00041784149596035824,866581.640625,-1.3817194283008576,171846.46875,
314000,-8.30348430110206e-05,887117.0734375,-1.3808614701032638,177481.046875,
316000,-0.00017640930611229066,878191.3875,-1.3825785994529725,174169.015625,
318000,-0.0010235325689812668,890586.478125,-1.3828339546918869,174853.25,
320000,-0.00023879723540431996,847849.3734375,-1.3828676283359527,166553.21875,
322000,-0.0002725067056978503,861830.3203125,-1.3829495757818222,172188.921875,
324000,-0.0004732326700299438,878508.940625,-1.382534423470497,173240.734375,
326000,9.405784638349957e-06,868270.628125,-1.3830874800682067,174358.296875,
328000,-0.0024544094919406235,890553.703125,-1.3838222056627274,182822.1875,
330000,-0.00015397737274689405,844830.6453125,-1.3842649281024932,169547.703125,
332000,-0.0001516825570149649,857755.8234375,-1.3840225398540498,167658.296875,
334000,-4.7326722683394e-05,849848.9234375,-1.3842438191175461,170257.90625,
336000,-1.435259532840405e-05,858105.740625,-1.3843933761119842,168665.40625,
338000,-6.443579153625478e-05,842618.2984375,-1.3835286259651185,160907.171875,
340000,-0.0015075010688411438,875505.2484375,-1.3818480849266053,172542.359375,
342000,-0.00012308107809424484,848120.7796875,-1.3802268981933594,160953.265625,
