step,policy_gradient_loss,value_loss,entropy_loss,total_loss,episodic_reward
999424,-0.001052107440045802,646393.15625,-0.6453810513019562,128327.21875,
1007616,-0.0017327697039945633,650131.9921875,-0.629912437684834,127838.4375,
1015808,-0.0006604993737710174,641835.5505859375,-0.6227827629074454,128137.296875,
1024000,-0.0011382519965991377,639445.8095703125,-0.6120036710053682,125171.9765625,
1032192,-0.0004552674894512165,666486.6275390625,-0.5974276002496481,129625.7265625,
1040384,-0.00016773475072113798,659854.558203125,-0.5879321658983827,124433.484375,
1048576,-0.0006266945416427916,666625.9263671875,-0.5950511485338211,130047.2890625,
1056768,-0.0008948006594437175,660840.0021484375,-0.5961020410060882,129392.7578125,
1064960,-0.0008605267303209985,686552.80078125,-0.5889686226844788,137286.90625,
1073152,-0.0016354505618437543,718182.755859375,-0.5786171376705169,142437.71875,
1081344,2.4563047918491066e-05,673406.948828125,-0.5692352736368775,130548.2265625,
1089536,-0.00051233183403383,687516.863671875,-0.5617712253704668,134238.640625,
1097728,-0.0002219529495050665,658493.18046875,-0.5584523633122445,131042.203125,
1105920,-0.0011221545464650262,643162.2751953125,-0.551997772231698,128852.171875,
1114112,-0.0004144621118030045,658763.0927734375,-0.5408292768523097,133001.71875,
1122304,-0.00039911182029754854,651812.0404296875,-0.5306631485000253,129468.4140625,
1130496,-0.0005492022988619283,651154.261328125,-0.5253287374973297,126007.2890625,
1138688,-0.0013664519610756543,653004.766015625,-0.5286983896046877,126507.984375,
1146880,-0.0008334055451996392,647427.0939453125,-0.5287547402083874,127538.5,
1155072,-0.0006186775208334439,642667.8474609375,-0.5214936409145594,127459.3359375,
1163264,-0.00045506299575208685,654187.94296875,-0.5126809263601899,128973.1171875,
1171456,-0.00029926932184025644,641500.596484375,-0.5057096004486084,127559.5390625,
1179648,-0.0011132618179544806,634494.758984375,-0.4927992987446487,121054.6640625,
1187840,-0.0004044600806082599,634751.50703125,-0.48264755150303246,121718.875,
1196032,-0.001257786661881255,646751.36796875,-0.47459873408079145,130055.46875,
1204224,-0.0005366203320591012,651086.109765625,-0.46860007755458355,127332.2265625,
1212416,-0.0005347847371012903,633853.845703125,-0.461063218023628,124154.875,
1220608,-0.0008349375839316053,640608.10546875,-0.45641436306759714,125379.5546875,
1228800,-0.0007045669437502511,631517.98046875,-0.4687941483221948,123300.53125,
1236992,-0.0002911008952651173,636182.3888671875,-0.47447780827060343,128045.921875,
1245184,-0.0013349332410143688,658737.5509765625,-0.4667168280109763,126457.796875,
1253376,-0.0004380797585326945,628541.7330078125,-0.4618682603351772,124626.96875,
1261568,-0.0005889467585802777,649818.9900390625,-0.460175268817693,126572.6171875,
1269760,-0.0016482340048241894,654490.7986328125,-0.45636953981593253,126072.0390625,
1277952,-0.00040490062019671313,698417.514453125,-0.4471101786009967,137015.828125,
1286144,-0.0008637213592010085,679987.005859375,-0.4416430413722992,135306.484375,
1294336,-0.0008733252572710626,661393.373828125,-0.4428934118710458,127459.1328125,
1302528,-0.0008536006611393532,673714.1587890625,-0.4412486431188881,129048.5546875,
1310720,-0.002193415782676311,708718.8603515625,-0.43690999047830703,140494.578125,
1318912,-0.0007453008340235101,706168.792578125,-0.4325615162961185,141425.71875,
1327104,-0.00037680245095543795,753339.1927734375,-0.4285551325418055,148618.921875,
1335296,-0.0008701401267899201,753959.8583984375,-0.42033932637423277,139375.625,
1343488,-0.0006618096274905838,697416.139453125,-0.40847841715440153,136751.21875,
1351680,-0.0013312914001289756,670510.340625,-0.3971933349967003,127442.6015625,
1359872,-0.0002880014610127546,641965.840625,-0.38442531824111936,125416.734375,
1368064,-0.0018793095281580464,669620.2259765625,-0.3697031646966934,132576.484375,
