rollout/ep_len_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/entropy_loss,train/value_loss,train/clip_range,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/loss,train/explained_variance,train/std,train/learning_rate
100.0,1478,8192,1,5,-28956.91114392592,,,,,,,,,,,
100.0,1204,16384,2,13,-20672.849983990003,-1.4227044254541397,18157790.959375,0.2,10,0.0033676066,-0.0017340153273835313,0.0255859375,4912741.5,-5.4836273193359375e-05,1.0069091320037842,0.0003
100.0,1158,24576,3,21,-17529.65779273,-1.425204837322235,5655961.06953125,0.2,20,0.002119978,-0.0007250057547935285,0.00286865234375,908889.25,-3.075599670410156e-05,1.0050021409988403,0.0003
100.0,1136,32768,4,28,-13582.82496543,-1.4201200693845748,3250213.8953125,0.2,30,0.0019211372,-0.0011261831350566354,0.00770263671875,577878.875,-6.318092346191406e-06,0.9977051019668579,0.0003
100.0,1124,40960,5,36,-12509.876678620001,-1.4173371043056249,2135824.46328125,0.2,40,0.0027488517,-0.0017171333212900209,0.0125732421875,306039.0625,3.337860107421875e-06,0.9999002814292908,0.0003
100.0,1116,49152,6,44,-10926.085072089998,-1.4208964999765157,1151640.8912109374,0.2,50,0.0038734586,-0.003497795623115962,0.03072509765625,224091.625,1.1622905731201172e-05,1.0054094791412354,0.0003
100.0,1110,57344,7,51,-10502.09733185,-1.4154236163944005,894620.7072265625,0.2,60,0.004526812,-0.0033489778666989877,0.03192138671875,182529.421875,-1.1920928955078125e-07,0.9886355996131897,0.0003
100.0,1106,65536,8,59,-10509.677343619998,-1.4032032329589128,775310.4181640625,0.2,70,0.0025499982,-0.0019384461891604587,0.01494140625,145275.171875,3.993511199951172e-06,0.9801352620124817,0.0003
100.0,1102,73728,9,66,-11076.03601177,-1.393676409497857,776265.25078125,0.2,80,0.0042244615,-0.0018415911425108788,0.02349853515625,155588.5625,4.410743713378906e-06,0.9685014486312866,0.0003
100.0,1100,81920,10,74,-10706.883499120002,-1.3857758540660143,892326.2908203125,0.2,90,0.003013524,-0.0013118579481670167,0.013232421875,169125.0,3.2186508178710938e-06,0.9668415784835815,0.0003
100.0,1097,90112,11,82,-10730.38122805,-1.3904332228004932,787628.5353515625,0.2,100,0.00078718935,-0.000246815156788216,0.00068359375,149096.8125,2.3245811462402344e-06,0.9767125248908997,0.0003
100.0,1096,98304,12,89,-10536.20235757,-1.3966775342822075,803397.1091796875,0.2,110,0.0033004591,-0.001972890758770518,0.01959228515625,156853.3125,2.205371856689453e-06,0.9790875911712646,0.0003
100.0,1094,106496,13,97,-10198.388335720001,-1.3946911040693521,748645.0259765625,0.2,120,0.0029365567,-0.0016694920992449624,0.0162109375,140724.078125,1.4901161193847656e-06,0.9753986597061157,0.0003
100.0,1093,114688,14,104,-10189.3069198,-1.3958458475768567,690697.89609375,0.2,130,0.0013473214,-0.00046858550958859266,0.00389404296875,130748.4921875,1.0132789611816406e-06,0.9778837561607361,0.0003
100.0,1092,122880,15,112,-10354.23212467,-1.3943827491253615,701063.7890625,0.2,140,0.0018696582,-0.0009487574388913345,0.0057861328125,129898.1015625,7.152557373046875e-07,0.9726440906524658,0.0003
100.0,1074,131072,16,121,-10159.53245507,-1.3857645966112613,724282.7384765625,0.2,150,0.002038374,-0.002086238579431665,0.01434326171875,141142.21875,5.960464477539062e-07,0.9631245136260986,0.0003
100.0,1074,139264,17,129,-10120.4217364,-1.3781757544726134,670742.3224609375,0.2,160,0.0011194432,-0.00040883236179070084,0.00196533203125,125464.0859375,0.0,0.9577943682670593,0.0003
100.0,1074,147456,18,137,-10035.653862829999,-1.3766754530370235,671106.1216796875,0.2,170,0.0010127054,-0.0002833929858752526,0.00068359375,126592.2734375,-1.1920928955078125e-07,0.9592946767807007,0.0003
100.0,1075,155648,19,144,-10003.478267609999,-1.3766448009759187,651209.577734375,0.2,180,0.0016001217,-0.000734727841700078,0.003076171875,125136.515625,7.152557373046875e-07,0.9574745297431946,0.0003
100.0,1075,163840,20,152,-10103.312190339999,-1.3759813267737626,643550.00703125,0.2,190,0.0022990536,-0.0004693324013715028,0.0037841796875,126376.78125,4.172325134277344e-07,0.9572204947471619,0.0003
100.0,1075,172032,21,159,-10086.67042554,-1.371838193014264,660387.937109375,0.2,200,0.0019163545,-0.0010010779875301522,0.00760498046875,121517.90625,1.1920928955078125e-07,0.9504297971725464,0.0003
100.0,1075,180224,22,167,-10045.56495211,-1.3740866009145976,646957.595703125,0.2,210,0.00167595,-0.0009954171579011017,0.0070556640625,124134.8359375,2.384185791015625e-07,0.9604485034942627,0.0003
100.0,1075,188416,23,175,-10004.96651264,-1.3770180080085992,636990.3927734375,0.2,220,0.0011577897,-0.00021297944404068402,0.00152587890625,120207.2109375,1.7881393432617188e-07,0.9561960697174072,0.0003
100.0,1075,196608,24,182,-10050.062063790001,-1.3693956643342973,626562.6408203125,0.2,230,0.002341686,-0.000460469660902163,0.00421142578125,122179.0078125,5.960464477539063e-08,0.9482290148735046,0.0003
100.0,1075,204800,25,190,-10162.03564623,-1.3606860812753439,634046.055859375,0.2,240,0.0023536053,-0.000664498519472545,0.007470703125,121641.2421875,5.960464477539063e-08,0.93878573179245,0.0003
100.0,1075,212992,26,197,-10123.06154293,-1.3524275511503219,646640.4091796875,0.2,250,0.002091189,-0.000962791057099821,0.0076171875,125739.8828125,0.0,0.9325834512710571,0.0003
100.0,1075,221184,27,205,-10026.60738619,-1.3486626476049424,633775.2607421875,0.2,260,0.000836586,-0.00017890734052343759,0.0003173828125,120597.6953125,1.7881393432617188e-07,0.9322001338005066,0.0003
100.0,1075,229376,28,213,-10104.92993642,-1.3481010098010302,612115.548046875,0.2,270,0.0029043355,-0.0010882378439418972,0.01297607421875,119518.765625,1.7881393432617188e-07,0.9305902719497681,0.0003
100.0,1076,237568,29,220,-10033.95455074,-1.349295013397932,626783.45,0.2,280,0.0044352673,-0.001731770208425587,0.02593994140625,118373.1875,5.960464477539063e-08,0.9331608414649963,0.0003
100.0,1076,245760,30,228,-10070.418066010001,-1.3459772486239672,607344.3484375,0.2,290,0.0021596327,-0.0006037391249265056,0.00648193359375,117376.28125,0.0,0.9258807301521301,0.0003
100.0,1076,253952,31,235,-10011.881903680001,-1.3416267573833465,613069.50390625,0.2,300,0.002016933,-0.00044866412099509034,0.00382080078125,118169.5625,0.0,0.9255420565605164,0.0003
100.0,1076,262144,32,243,-9977.73561365,-1.3385779198259116,593231.1345703125,0.2,310,0.0018038059,-0.0007318001029489096,0.00682373046875,113587.203125,0.0,0.9192262291908264,0.0003
100.0,1076,270336,33,251,-9898.56624283,-1.3339763347059488,591791.192578125,0.2,320,0.0031734928,-0.000616291588448803,0.0086181640625,109877.2578125,1.7881393432617188e-07,0.9175282716751099,0.0003
100.0,1076,278528,34,258,-9893.87983506,-1.3353087354451418,573484.5994140625,0.2,330,0.001293365,-0.0004304703528760001,0.0044921875,109490.1484375,0.0,0.9213933944702148,0.0003
100.0,1077,286720,35,266,-9869.87781538,-1.3372354742139578,569522.59921875,0.2,340,0.0014334427,-0.0003906298537913244,0.00518798828125,111080.0546875,1.7881393432617188e-07,0.9215547442436218,0.0003
100.0,1077,294912,36,273,-9816.54378907,-1.3438613168895244,562071.7588867188,0.2,350,0.0029698634,-0.0016756903714849614,0.0179443359375,108695.1640625,5.960464477539063e-08,0.931695282459259,0.0003
100.0,1077,303104,37,281,-9819.713237299999,-1.3518502954393625,551160.9794921875,0.2,360,0.0011463698,-0.00021965104278933722,0.0023193359375,108070.15625,0.0,0.9371302127838135,0.0003
100.0,1078,311296,38,288,-9862.19228454,-1.353762360662222,549061.8797851562,0.2,370,0.0026286968,-0.0013477133070409764,0.0169189453125,107674.8828125,-1.1920928955078125e-07,0.936428427696228,0.0003
100.0,1078,319488,39,296,-9934.61349658,-1.350514731183648,553296.6592773438,0.2,380,0.0020444933,-0.0007356988702667877,0.00731201171875,104565.6328125,0.0,0.9315130710601807,0.0003
100.0,1079,327680,40,303,-9997.87287714,-1.342332436516881,559209.4140625,0.2,390,0.0028492664,-0.0005628540504403646,0.00599365234375,110225.3671875,0.0,0.9210155606269836,0.0003
100.0,1079,335872,41,311,-9942.755437580001,-1.3349398743361234,564810.8189453125,0.2,400,0.0038871185,-0.0006739549058693229,0.0097412109375,110162.109375,0.0,0.9174700379371643,0.0003
